MULTIPLIER,BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS
,buckledown brewing,beer,74
,recipe 21,spirits,74
,yamato,spirits,74
,o organics,dips  salsa,74
,clausthaler,malt beverages,74
,brown bomber,malt beverages,74
,monin,drink mixes,74
,caseys gen store,water,74
,kures craft,spirits,74
,boones bourbon,spirits,73
,prismacolor,makeup,73
,meriwether cider co,fruit juices,73
,selpak,household supplies,73
,lab,wine,73
,lake louie,beer,73
,singlecut beersmiths,beer,73
,martell,spirits,73
,butterfield station,wine,73
,grazie mille,wine,73
,suze,spirits,73
,bosca,wine,73
,rip van wafels,candy,73
,artnaturals,bath  body,73
,7 cellars,wine,73
,watkins,drink mixes,73
,ischolar,cooking  baking,73
,cutwater bali hai,spirits,73
,stewarts,malt beverages,73
,dry county spirits,spirits,73
,teller,spirits,73
,new riff,spirits,73
,flying monkeys craft brewery,beer,73
,white claw,malt beverages,73
,piraat,beer,73
,rizzi,wine,73
,sweetland cellars,wine,73
,steam bell beer works,beer,73
,bonfire,spirits,73
,gran centenario leyenda,spirits,73
,eclipse,candy,73
,surreal non alcoholic chandelier red ipa,beer,73
,mikkeller,beer,73
,kevita,fruit juices,73
,simple truth,red pasta sauce,72
,liv,spirits,72
,crooked palm distillery,spirits,72
,tyskie,hard seltzers sodas waters lemonades  teas,72
,alba botanica,hair removal,72
,heavy riff,beer,72
,second chance,wine,72
,few,spirits,72
,le haut medoc de trintaudon,wine,72
,not available,cooking  baking,72
,burgkopf,beer,72
,capriccio,fruit juices,72
,zachary,pretzels,72
,messias,wine,72
,the clorox company,household supplies,72
,hartley,spirits,72
,franciscan estate,wine,72
,flor,wine,72
,pendleton,spirits,72
,phebus,wine,72
,little caesars,cooking  baking,72
,olympia,spirits,72
,epic other,jerky  dried meat,72
,jones soda co,carbonated soft drinks,72
,pigs ear,beer,72
,reeses,nut butters  jam,72
,689,wine,72
,biokult osterreich,wine,72
,sunshine greetings,beer,71
,mc cleary,spirits,71
,noisy water winery and cellars,wine,71
,finback,beer,71
,kirkland signature,drink mixes,71
,merry family winery,wine,71
,body fortress,medicines  treatments,71
,jk scrumpys,fruit juices,71
,irwin,household supplies,71
,perma frost,spirits,71
,marc dupas,wine,71
,veza sur mangolandia mango blonde ale,beer,71
,collins,drink mixes,71
,oreo,frozen desserts,71
,dr wham,carbonated soft drinks,71
,bj hookers,spirits,71
,the bad stuff,spirits,71
,back east brewery,beer,71
,ore dock brewing company,malt beverages,71
,se busca,spirits,71
,winehaven,wine,71
,carnivor,wine,71
,tropicana,carbonated soft drinks,71
,conte amato,wine,71
,iron horse brewery,beer,71
,mauriello,wine,70
,forestedge,wine,70
,odell cellar series,beer,70
,great value,water,70
,tesoro number 5,spirits,70
,perlage,wine,70
,upland brewing co,beer,70
,seventh generation,wine,70
,shop rite so soft,bath  body,70
,angies boomchickapop,puffed snacks,70
,jimmy dean,frozen meals,70
,oliver brewing company,beer,70
,sheba,frozen meals,70
,1835,spirits,70
,bella sera,wine,70
,krusteaz,snack cakes,70
,cascadian farm,crackers,70
,sudwerk,beer,70
,brumont,wine,70
,roak brewing co,beer,70
,aguardiente cristal,spirits,70
,full circle brewing co,beer,70
,private selection,cereal granola  toaster pastries,70
,the drop,wine,70
,california pizza kitchen,frozen pizza  pizza snacks,70
,bramare,wine,70
,faux pas,spirits,70
,blu giovello,wine,70
,chateau elan,wine,70
,offshoot beer co,beer,70
,livio felluga,wine,69
,silver star,spirits,69
,hook or crook,wine,69
,kurvball,spirits,69
,starward two fold,spirits,69
,impossible,plantbased meat,69
,fruh,beer,69
,la braccesca,wine,69
,off color brewing,beer,69
,peace tree brewing co,beer,69
,mezza di mezzacorona,wine,69
,potters craft cider,fruit juices,69
,native,bath  body,69
,bonesaw brewing company,beer,69
,vive,malt beverages,69
,1876,spirits,69
,splenda stevia,cooking  baking,69
,ruffino,wine,69
,whipsy,drink mixes,69
,greenbush brewing co,beer,69
,doc swinsons,spirits,69
,edenmill st andrews,spirits,69
,little book,spirits,69
,babaria,bath  body,69
,mad anthony brewing company,beer,69
,listerine,skin care,69
,wild rag,spirits,69
,kringle cream,spirits,69
,the cocktail experiment,drink mixes,69
,port brewing,beer,69
,decoy,wine,69
,corralejo,spirits,69
,angostura bitters,drink mixes,69
,mccormick,spirits,69
,piccini,wine,68
,sunday funday,wine,68
,12 point,spirits,68
,goya,malt beverages,68
,bittermilk,drink mixes,68
,vita malt,beer,68
,rampur,spirits,68
,loreal advanced haircare,hair care,68
,lager heads brewing co,beer,68
,skyy,spirits,68
,owls brew boozy tea,malt beverages,68
,twandm brothers reserve,drink mixes,68
,snow pops,spirits,68
,thimble island brewing company,beer,68
,private selection,pasta  noodles,68
,red gold,dips  salsa,68
,santa ana,wine,68
,monday night brewing,malt beverages,68
,ortega fiesta flats,packaged meals  sides,68
,paradice,wine,68
,ahold,crackers,68
,powderhaus,beer,68
,q,carbonated soft drinks,68
,terrells,pretzels,68
,cathead,spirits,68
,carnation,cereal granola  toaster pastries,68
,ocean pacific,deodorant  antiperspirant,68
,riazul,spirits,68
,partida,spirits,68
,grimm,beer,68
,keurig,tea,68
,mikes hard cranberry lemonade,malt beverages,68
,martin city,beer,68
,edge brewing company,beer,67
,dentastix,cooking  baking,67
,progresso,cooking  baking,67
,chimay,beer,67
,pampers,cooking  baking,67
,thomas ashbourne,spirits,67
,22 pirates,wine,67
,partake,fruit  vegetable snacks,67
,bollicini,wine,67
,cobetckoe,wine,67
,sheba,bread,67
,tiziano,wine,67
,zip line brewing co,beer,67
,perla,beer,67
,jefferson county ciderworks,fruit juices,67
,16 lots,beer,67
,xacto,household supplies,67
,jim beam devils cut,spirits,67
,agavales,wine,67
,madewest brewing co,beer,67
,tarantula hill,beer,67
,wheat thins,crackers,67
,spencer,beer,67
,lodi red,wine,67
,mineral fusion,makeup,67
,la rocheposay,skin care,67
,mccain,packaged meals  sides,67
,opa opa,beer,67
,zephyrhills,water,67
,da vinci,wine,67
,estrella jalisco,beer,67
,siete,chips,67
,rondiaz,spirits,67
,joysuds,bath  body,67
,red stag by jim beam,spirits,67
,utz,snack mixes,66
,licor beirao,spirits,66
,tex agave,spirits,66
,spascriptions,bath  body,66
,le contesse,wine,66
,grain belt,malt beverages,66
,simply,wine,66
,bam biere,beer,66
,water works,malt beverages,66
,socorro,spirits,66
,kevita,tea,66
,corona extra,beer,66
,hana kizakura,wine,66
,bohemian brewery brewers sampler,beer,66
,j wakefield brewing,beer,66
,blue nun,wine,66
,bitburger and sierra nevada,beer,66
,maui style chips,chips,66
,noble oak,spirits,66
,mixed up mule,spirits,66
,cinta,wine,66
,key speed wobbles session ipa,beer,66
,wild vines,wine,66
,kroger lite kroger co the,fruit juices,66
,buck creek,wine,66
,hallasan 21,spirits,66
,fernet branca,spirits,66
,red horse,beer,66
,the seeker,wine,66
,american falls,water,66
,just crack and egg,eggs,66
,18th street brewery,beer,65
,collective arts,spirits,65
,antarctica,spirits,65
,hitachino nest,beer,65
,good earth,cooking  baking,65
,buck shack,wine,65
,little debbie,cookies,65
,catoctin creek,spirits,65
,oconnor brewing co,beer,65
,lt blenders sangria in a bag,drink mixes,65
,xotic comets,wine,65
,akashi tai,wine,65
,bavik,beer,65
,fling,spirits,65
,lays kettle cooked,cookies,65
,townshend,wine,65
,whiplash,wine,65
,island brewing company,beer,65
,oreillys,spirits,65
,miss marys,drink mixes,65
,oh,spirits,65
,redds wicked,malt beverages,65
,ortega,packaged vegetables,65
,siempre,spirits,65
,saugatuck brewing co,beer,65
,lt blenders pina colada in a bag,drink mixes,65
,liquor whipped,drink mixes,65
,morning wood,drink mixes,65
,appalachian mountain cidery,fruit juices,65
,mcbride sisters she can,wine,65
,second chance beer co,beer,65
,cruzan hurricane proof,spirits,65
,earths best,fruit  vegetable snacks,65
,cerveceria de colima,beer,65
,boondocks,spirits,64
,oncore,spirits,64
,veza sur brewing co,beer,64
,jks farmhouse ciders,fruit juices,64
,lakeshore,wine,64
,naranja,spirits,64
,mezzetta napa valley bistro,drink mixes,64
,golden star,fruit juices,64
,itz spritz variety pack,cooking  baking,64
,red pack,cooking  baking,64
,bushs,packaged vegetables,64
,jw kelly,spirits,64
,campbells,soup  broth,64
,miles,spirits,64
,calvert brewing company,beer,64
,bom bom,spirits,64
,alcatraz brewing,beer,64
,81 bay,beer,64
,tre secoli,wine,64
,skippy,nut butters  jam,64
,sand creek,wine,64
,juve and camps,wine,64
,shinju,spirits,64
,bend cider co,fruit juices,64
,stem ciders and the real dill,fruit juices,64
,chemin dor,wine,64
,reserva del maestro dobel diamond,spirits,64
,smirnoff kissed,spirits,64
,hello bello,diapering,64
,two robbers,malt beverages,64
,kcbc,beer,64
,west 32 soju,spirits,64
,raos,pasta  noodles,64
,chateau los boldos,wine,64
,brouwerij west,beer,64
,mike hess brewing,beer,64
,hallmark,wine,64
,one barrel brewing company,fruit juices,63
,cherry pie,wine,63
,brewery x,beer,63
,boxsmith,wine,63
,riverside drinkworks,spirits,63
,crafted,wine,63
,bombarda,spirits,63
,total,cereal granola  toaster pastries,63
,kleos,spirits,63
,kelt,spirits,63
,biolyte,feminine hygeine,63
,golden flake tostados,chips,63
,laphroaig,spirits,63
,almanac,beer,63
,casa di amaro,wine,63
,bollini,wine,63
,worthy brewing company,beer,63
,tinas,frozen meals,63
,greenwise,red pasta sauce,63
,blind luck,wine,63
,jose cuervo reserva de la familia,spirits,63
,blackened,spirits,63
,stem ciders,fruit juices,63
,vinyes ocults,wine,63
,stonewall kitchen,drink mixes,63
,boboli,bread,62
,olde english,bread,62
,religion tequila,spirits,62
,redbreast,spirits,62
,simple truth,puffed snacks,62
,utog,beer,62
,basic,spirits,62
,oggun,spirits,62
,southern tier cider works cider packd variet,fruit juices,62
,rusya,spirits,62
,la maialina,wine,62
,frey,wine,62
,colorado native,beer,62
,rivetto,wine,62
,pinnacle light and ripe,spirits,62
,birds eye,frozen vegetables,62
,badger claw,spirits,62
,weltenburger kloster,beer,62
,paper craft,household supplies,62
,ecos dishmate,bath  body,62
,luxardo,spirits,62
,nutrigrain,cereal granola  toaster pastries,62
,giant,spirits,62
,harviestoun,beer,62
,maui hard seltzer,malt beverages,62
,alberta,spirits,62
,steel blu,spirits,61
,cooper and thief,wine,61
,ghost train brewing company,beer,61
,the rustik oven,bread,61
,wasatch apricot hefeweizen,beer,61
,zing zang,spirits,61
,right proper brewing co,beer,61
,lucien albrecht,wine,61
,hutton and smith brewing company,beer,61
,buffalo bayou,beer,61
,bio oil,skin care,61
,two brothers,spirits,61
,padre azul,spirits,61
,misceo,spirits,61
,scarlet letter purple,malt beverages,61
,crayola,household supplies,61
,reissdorf kolsch,beer,61
,first force,bath  body,61
,big muddy brewing,beer,61
,ursa minor brewing,beer,61
,lean cuisine,frozen meals,61
,oscar mayer,eggs,61
,high limb,fruit juices,61
,ice man,beer,61
,elemental,fruit juices,61
,sugar ridge winery,wine,61
,pomacai,spirits,61
,noda brewing company,beer,61
,hakushika,wine,61
,goya,dips  salsa,61
,jorvik,spirits,61
,pierre sparr,wine,61
,destihl craft hard seltzer variety pack,hard seltzers sodas waters lemonades  teas,61
,familia camarena,spirits,61
,heritage distilling co,spirits,61
,hourglass,wine,61
,bunnahabhain,spirits,61
,jailbreak brewing company,beer,60
,frost beer works,beer,60
,dorchester,beer,60
,mateos,dips  salsa,60
,mccanns,cereal granola  toaster pastries,60
,fresh express,cooking  baking,60
,take 5,candy,60
,pabst blue ribbon light,beer,60
,fable and folly,spirits,60
,vecchia cantina,wine,60
,william wolf,spirits,60
,labatt blue light lime,beer,60
,jays,chips,60
,sensible portions,puffed snacks,60
,hoppin frog,beer,60
,miranda,wine,60
,tequila chamucos,spirits,60
,berryessa brewing co,beer,60
,doc 360,carbonated soft drinks,60
,anis del mono,spirits,60
,proud partner,spirits,60
,oreo,frozen meals,60
,bourge,spirits,60
,birds fly south ale project,beer,60
,uberbrew,beer,60
,blue buffalo,medicines  treatments,60
,monty pythons,beer,60
,miller chill light,beer,60
,gran orendain,spirits,60
,mcalisters deli,dips  salsa,60
,bur oak brewing company,beer,60
,malbado,wine,60
,keystone dry,beer,60
,clif,nut butters  jam,60
,matanuska,beer,60
,crunchmaster,candy,60
,amore di amanti,wine,60
,ercole,wine,60
,tin cup,spirits,60
,casa santos lima,wine,60
,rikaloff,spirits,60
,good 2 grow,water,60
,banyan reserve,spirits,60
,wychwood,beer,60
,roma for one,frozen pizza  pizza snacks,60
,coppertail brewing co,beer,59
,plutonium 239,beer,59
,violet crown spirits,spirits,59
,moonlit harvest,wine,59
,stater bros markets,bath  body,59
,schneider weisse,beer,59
,matthews,wine,59
,fretboard,beer,59
,kaiyo,spirits,59
,proper brewing co,beer,59
,top down,beer,59
,loréal paris hair color,hair care,59
,sobieski cytron,spirits,59
,valenzano,wine,59
,omb,beer,59
,1805,wine,59
,peligroso,spirits,59
,mistolin,bath  body,59
,chobani,dairy alternatives,59
,connies pizza,frozen pizza  pizza snacks,59
,private selection,prepared meals,59
,et51,spirits,59
,whisper creek,spirits,59
,rem brand,skin care,59
,minocqua brewing company,beer,59
,american barrels,spirits,59
,hidden springs ale works and tmp by br wk,beer,59
,north forest kreme,spirits,59
,tommy bahama st barts,deodorant  antiperspirant,59
,malta hatuey,beer,59
,trail box,wine,59
,appleton estate,spirits,59
,liqs,spirits,59
,robert mercer,wine,59
,goya,deli counter,59
,outlaw brewing,beer,58
,caseys general store,cooking  baking,58
,matys,medicines  treatments,58
,beaver island sweet miss variety pack,beer,58
,jhenry and sons,spirits,58
,carton brewing,beer,58
,st george,beer,58
,arbor brewing company,beer,58
,fix hellas,beer,58
,woodstock inn brewery,beer,58
,field day,household supplies,58
,denizens brewing co,beer,58
,white claw hard seltzer surge,malt beverages,58
,smartwater,water,58
,the mitten brewing co,beer,58
,silas jones,spirits,58
,ic light,beer,58
,cuesta rey,spirits,58
,creek water,spirits,58
,rex hill,wine,58
,lakefront brewery,beer,58
,urban artifact,malt beverages,58
,mikes harder,malt beverages,58
,sensible portions,chips,58
,3 sons brewing co,beer,58
,alpine blu,spirits,58
,florida orange groves winery,wine,58
,remus repeal reserve,spirits,58
,redwood creek,wine,58
,house of mandela,wine,58
,guarda rios,wine,58
,pachanga,drink mixes,58
,saladini pilastri,wine,58
,o organics,wine,58
,augusta,wine,58
,tikves,wine,58
,pabst blue ribbon,spirits,58
,round barn,spirits,58
,pinord,wine,58
,brown county winery,wine,58
,two brothers artisan brewing,beer,58
,chateau la dominique,wine,58
,hamburg brewing company,beer,58
,conundrum,wine,58
,breca,wine,58
,trappistes rochefort,beer,58
,backwoods brewing company,beer,58
,cantina zaccagnini,wine,57
,emperador,spirits,57
,alexander keiths,beer,57
,phillips blue 100,spirits,57
,wellness,adult incontinence,57
,southern tier cider works,fruit juices,57
,bfree,bread,57
,shea moisture,skin care,57
,foursquare,spirits,57
,carpene malvolti,wine,57
,bimbo,bakery,57
,huggies,candy,57
,shiner,malt beverages,57
,great western,wine,57
,four corners brewing co,beer,57
,sheba,hair care,57
,tennessee legend,spirits,57
,pulque,wine,57
,avia,wine,57
,hardins creek,spirits,57
,club 400,spirits,57
,bacardi 8 sherry cask,spirits,57
,borgo san leo,wine,57
,kiss,fruit juices,57
,sluricane,spirits,57
,amherst brewing,beer,57
,wild horse,wine,57
,urban chestnut variety pack,beer,57
,tigi,hair care,57
,o organics,fruit juices,57
,the rock,wine,57
,pik l bak,drink mixes,57
,empire hard seltzer variety pack,hard seltzers sodas waters lemonades  teas,57
,y3,wine,57
,morelli,wine,57
,snake river,beer,57
,les ligeriens,wine,57
,pomp and whimsy,spirits,57
,chehalem,wine,57
,velvet underground,wine,57
,provisions,wine,56
,veterans united craft brewery,beer,56
,annies homegrown grocery,packaged vegetables,56
,barena,beer,56
,downy,bath  body,56
,ashland hard seltzer,malt beverages,56
,reveal,medicines  treatments,56
,phillips,medicines  treatments,56
,heiners bread,bread,56
,kyla,malt beverages,56
,montucky cold snack,beer,56
,redhook,beer,56
,the good stuff,cooking  baking,56
,tattersall,drink mixes,56
,alani nu,medicines  treatments,56
,wise man brewing,beer,56
,bakehouse bread company,bread,56
,original cocktails by heublein,spirits,56
,bearface,spirits,56
,red hare splitting hares variety pack,beer,56
,le campuget,wine,56
,evamor,water,56
,black tooth brewing co,beer,56
,willies superbrew,malt beverages,56
,jolly time,puffed snacks,56
,kedem,wine,56
,bic,hair removal,56
,amylu,frozen chicken,56
,high water brewing,beer,56
,citracal,medicines  treatments,56
,kroger,puffed snacks,56
,writers tears,spirits,56
,tullibardine,spirits,56
,tahari,deodorant  antiperspirant,56
,jack rudy cocktail co,drink mixes,56
,nivea men,bath  body,55
,rain,bath  body,55
,draught works,beer,55
,liquid alchemist,drink mixes,55
,raos,pesto sauce,55
,budweiser zero,beer,55
,carupano,spirits,55
,my favorite neighbor,wine,55
,flying fish brewing company,beer,55
,valentine,spirits,55
,maison limoux,wine,55
,kopparberg strawberry lime premium cider,fruit juices,55
,cascade brewing,beer,55
,12 knights,wine,55
,solemn oath,beer,55
,community beer works,beer,55
,temescal brewing,beer,55
,grain belt,beer,55
,pavette,wine,55
,ore ida,frozen sides,55
,empire brewing company,beer,55
,monkey 47,spirits,55
,southpaw light,beer,55
,enchanted rock,spirits,55
,florida,spirits,55
,clorox,skin care,55
,arcobrau,beer,55
,luna bay booch co,malt beverages,55
,mothers brewing company,malt beverages,55
,krusovice,beer,55
,anza,spirits,54
,yuban coffee,coffee,54
,antler ridge,wine,54
,andalou,hair removal,54
,cascadian farm,cookies,54
,susquehanna brewing co,beer,54
,denver o  a colorado craft hard seltzer var,hard seltzers sodas waters lemonades  teas,54
,portal,wine,54
,waconia brewing company,beer,54
,pillsbury,coffee,54
,fuyu,spirits,54
,redpack,sauces  marinades,54
,smirnoff sours,spirits,54
,coyote hole,fruit juices,54
,mingle,drink mixes,54
,red diamond,tea,54
,giffard,spirits,54
,pierre ferrand,spirits,54
,tres estrellas,wine,54
,j by jennifer aniston,deodorant  antiperspirant,54
,cvne imperial,wine,54
,la clandestine,spirits,54
,southern range,beer,54
,annies homegrown grocery other,dressings,54
,82nd airborne,spirits,54
,sutter home fruit infusions,wine,54
,probitas,spirits,54
,back pew brewing,beer,54
,mickeys,malt beverages,54
,calamity gin,spirits,54
,southern tier,spirits,54
,walker brothers,malt beverages,54
,ottakringer,beer,54
,little debbie,bakery,54
,the modern cocktail,drink mixes,54
,chateau bourdieu,wine,54
,herb and lous,drink mixes,54
,clean cocktail,spirits,54
,baja,spirits,54
,maille,pickled goods,54
,diablo creek,wine,53
,raos,frozen pizza  pizza snacks,53
,miller lite ice,beer,53
,grand marnier,spirits,53
,zhiguliovskoye,beer,53
,marie brizard,spirits,53
,la 31,beer,53
,les pierres blanches,wine,53
,rileys brewing,beer,53
,vita frute,spirits,53
,beefsteak,bread,53
,jack daniels black label,spirits,53
,river horse,beer,53
,hot pockets,frozen meals,53
,loonman,spirits,53
,urban vines,wine,53
,cavatina,wine,53
,alberto nani,wine,53
,hope and grace,wine,53
,maison denuziere,wine,53
,champlain orchards cidery,fruit juices,53
,victory variety pack,beer,53
,labatt blue light seltzer,malt beverages,53
,constantino,spirits,53
,luna,nuts  seeds,53
,the sexton,spirits,53
,hochstadters slow and low,spirits,53
,suave men,deodorant  antiperspirant,52
,stella artois,fruit juices,52
,texas pete,sauces  marinades,52
,yahara bay,spirits,52
,cellier des dauphins,wine,52
,bai,tea,52
,st peters,beer,52
,rileys brewing,malt beverages,52
,caboose,beer,52
,good natured,cooking  baking,52
,the red,wine,52
,bravazzi,malt beverages,52
,simple truth,dips  salsa,52
,gran agave,spirits,52
,delirium tremens,beer,52
,annies homegrown grocery,frozen meals,52
,alewerks hazy folk new england style ipa,beer,52
,country smooth,spirits,52
,kroger,tea,52
,sixpoint variety pack,beer,52
,coronado the mermaids collection,beer,52
,unibroue,beer,52
,santa teresa,spirits,52
,molings,beer,52
,sierra nevada tropical torpedo ipa,beer,52
,wyldewood cellars,wine,52
,reverend nats,fruit juices,52
,pbc,malt beverages,52
,connies,frozen pizza  pizza snacks,52
,lorelei brewing,beer,52
,bonneville brewery,beer,52
,highlander beer,beer,52
,pike,beer,52
,wren house brewing co,beer,52
,zuzi,spirits,52
,spinelli,wine,52
,kenneth cole,body fragrances,52
,los arango,spirits,52
,tempus fugit spirits,spirits,51
,north canyon pineapple ginger cider,fruit juices,51
,black mesa,beer,51
,famosa,beer,51
,white claw hard seltzer surf,malt beverages,51
,vollwerths,frozen pizza  pizza snacks,51
,check this out big savings,bath  body,51
,augustines,frozen pizza  pizza snacks,51
,dunkin donuts,coffee,51
,adventure brewing,beer,51
,brothers craft brewing,beer,51
,flying fish seasonal,beer,51
,carnation breakfast essentials,meal replacement beverages,51
,uncle bears brewery,beer,51
,qss rare,wine,51
,trumpeter,wine,51
,ithaca box of sours variety pack,beer,51
,henhouse brewing company,beer,51
,mccain,frozen meals,51
,voyageur brewing company,beer,51
,prestige,beer,51
,shipyard variety pack,beer,51
,luna,cereal granola  toaster pastries,51
,prairie variety pack,beer,51
,luna bay boch co,malt beverages,51
,baja brewing co,beer,51
,pratt standard cocktail co,drink mixes,51
,wise monkeys,beer,51
,yellow springs brewery,beer,51
,le cigare volant,wine,51
,white lion brewing company,beer,51
,sipsmith,spirits,51
,clubby seltzers,malt beverages,51
,ramon bilbao,wine,51
,clio bar,frozen meals,51
,cold harbor brewing co,beer,51
,epic lunar transit juicy  hazy ipa,beer,51
,screamin sicilian pizza co,frozen pizza  pizza snacks,51
,great value,bath  body,51
,finest call,drink mixes,51
,live oak,beer,51
,dole drinks,fruit juices,50
,red eye louies whisquila,spirits,50
,intimina,feminine hygeine,50
,cascadian farm frozen,frozen fruits,50
,oib,beer,50
,three bridges,prepared meals,50
,carnation breakfast essentials,drink mixes,50
,hopworks urban brewery,beer,50
,boiler black,beer,50
,sells,cooking  baking,50
,burlwood cellars,wine,50
,martins,chips,50
,barkthins,candy,50
,courvoisier avant garde,spirits,50
,henry weinhards,malt beverages,50
,epic,jerky  dried meat,50
,counter weight brewing co,beer,50
,bad granny hard cider,hard ciders,50
,adam puchta,wine,50
,riparosso,wine,50
,angels landing,wine,50
,grappa cru monovitigno,spirits,50
,great divide whitewater craft hard seltzer v,water,50
,wasska,drink mixes,50
,gilmanton winery and vineyard,wine,50
,great america,malt beverages,50
,canned oregon,wine,50
,vipra,wine,50
,rompope san luis rey,spirits,50
,deligeroy,wine,50
,bottle logic,beer,50
,alvarium beer company,beer,50
,hakkaisan,wine,50
,bleu clair,spirits,50
,equilibrium brewery and cerebral brewing,beer,50
,health smart,hair removal,50
,vive hard seltzer mango,malt beverages,50
,epic,nuts  seeds,50
,baron de ley,wine,50
,mo rum ba,wine,50
,antioqueno,spirits,50
,henry weinhards,beer,50
,kashi,frozen breakfast,50
,three floyds barbarian haze ipa,beer,50
,karben4,malt beverages,50
,aspen edge light,beer,50
,essentially geared wine co,wine,50
,pure factory naturals,bath  body,50
,struggle bus,drink mixes,50
,moab brewery,beer,50
,lawrence,spirits,50
,bagel bites,frozen appetizers,50
,holiday traditions,wine,50
,kloster andechs,beer,50
,mcalisters deli,bread,49
,block 15,beer,49
,haymarket brewing company,beer,49
,walking tree brewery,beer,49
,tim hortons coffee,coffee,49
,chaos mountain brewing,beer,49
,glutenberg,beer,49
,one tree pumpkin hard cider,fruit juices,49
,kwv,wine,49
,boordy vineyards sweetland cellars,wine,49
,luke,wine,49
,mars wrigley variety,candy,49
,steel hands fistful of beer variety pack,beer,49
,litchfield distillery,spirits,49
,dr loosen,wine,49
,la quinta,wine,49
,griffin claw hard seltzer variety pack,hard seltzers sodas waters lemonades  teas,49
,modist brewing co,beer,49
,tender puff,household supplies,49
,courage and conviction,spirits,49
,deep river brewing co,beer,49
,columbus brewing co,beer,49
,texas spirit,spirits,49
,smirnoff twist of blueberry,spirits,49
,sheba,packaged meat,49
,teperberg,wine,49
,rio grande,beer,49
,all,bath  body,49
,templeton,spirits,49
,bad sweater,spirits,49
,hellmanns best foods,sauces  marinades,49
,rice krispies,rice  grains,49
,cerave,skin care,49
,mele,oral care,49
,barons,beer,49
,md science lab,bath  body,49
,after glow,malt beverages,49
,modelo,hard seltzers sodas waters lemonades  teas,48
,vivvi  bloom,baby bathing,48
,rustic spirits,spirits,48
,downtown toodeloo,spirits,48
,612 brew,beer,48
,st ambrose cellars,wine,48
,dante robino,wine,48
,baron herzog,wine,48
,west cork,spirits,48
,tampax pocket radiant,feminine hygeine,48
,gota de arena,wine,48
,two beers southern resident killer whale chi,beer,48
,gate city brewing co,beer,48
,pillsbury,candy,48
,the grand canyon distillery,spirits,48
,schladerer,spirits,48
,fall river,beer,48
,cocacola vanilla zero,carbonated soft drinks,48
,smirnoff twist of orange,spirits,48
,wileys,malt beverages,48
,bragg,fruit juices,48
,danos,spirits,48
,nemiroff,spirits,48
,carlson vineyards,wine,48
,primo amore,wine,48
,dokkaebier,beer,48
,barton naturals,spirits,48
,gain,bread,48
,deep water vineyard,wine,48
,new braunfels brasserie,beer,48
,sapolio,bath  body,48
,10 torr,spirits,48
,goodwood,beer,48
,zubr,beer,48
,dg ting,carbonated soft drinks,48
,wild leap,beer,48
,annies homegrown grocery,chips,48
,la occidental,spirits,48
,gerard bertrand,wine,48
,jacob best light,beer,48
,adirondack,beer,48
,lunchables,cheese,48
,goodbelly probiotics,yogurt,48
,two lane hard seltzer variety pack,malt beverages,48
,dos armadillos,spirits,48
,dots pretzels,pretzels,48
,happy dad,malt beverages,48
,prost variety pack,beer,48
,simple truth,alfredo  white pasta sauce,48
,hersheys,snack mixes,48
,wallace brewing,beer,48
,horse and dragon brewing company,beer,48
,chateau de la roulerie,wine,48
,bombay bramble,spirits,48
,mispillion river brewing,beer,48
,flying horse,beer,48
,black box wines,wine,48
,sunbelt,crackers,48
,lost boy cider,fruit juices,48
,di giorno,frozen pizza  pizza snacks,48
,scoresby,spirits,48
,broadhorn,spirits,48
,atlanta hard cider co,hard ciders,47
,tiamo,wine,47
,isotta manzoni,wine,47
,purity vodka,spirits,47
,generation green,wine,47
,sprizzeri,wine,47
,double nickel,beer,47
,godfathers pizza,frozen pizza  pizza snacks,47
,peppermint burst,spirits,47
,sugar creek brewing company,beer,47
,la paz skinny,drink mixes,47
,5,spirits,47
,kentucky gentleman,spirits,47
,oak cliff,spirits,47
,hop butcher for the world,beer,47
,gascon,wine,47
,simple truth,cooking  baking,47
,pulenta,wine,47
,city roots,fruit juices,47
,preventmd,bath  body,47
,filthy,drink mixes,47
,whitestone brewery,beer,47
,monticello,wine,47
,bourbonola,spirits,47
,pascual toso,wine,47
,triple crown,spirits,47
,johnnie walker gold label,spirits,47
,pierre riffault,wine,47
,ranch2o,spirits,47
,lava cap,wine,47
,endless summer hard seltzer variety pack,hard seltzers sodas waters lemonades  teas,47
,la vieille ferme,wine,47
,four peaks brewing company,beer,47
,rebuli,wine,47
,healthy choice,dressings,47
,blue marble,drink mixes,47
,agavales,drink mixes,47
,magic soft,household supplies,47
,bad seed,fruit juices,47
,hard mountain dew,malt beverages,47
,entenmanns,bakery,47
,coors pure,beer,47
,enfagrow,baby bathing,47
,christian moerlein,beer,46
,alamo,beer,46
,pepperidge farm,cooking  baking,46
,ferrero,nut butters  jam,46
,frutero,frozen desserts,46
,keebler,crackers,46
,matador,spirits,46
,beluga,spirits,46
,rush river brewing company,beer,46
,villa sandi,wine,46
,farmers brewing co,beer,46
,3 howls,spirits,46
,pelican mixed pack variety pack,beer,46
,wild heaven craft beers,beer,46
,rochester mills beer co,beer,46
,left hand brewing co,beer,46
,puply,wine,46
,martin ray,wine,46
,bottle rocket,beer,46
,tennessee brew works,beer,46
,momo,wine,46
,bud dry,beer,46
